bedrooms,bathrooms,toilets,parking_space,title,town,state,price,listing_type
4,4,5,2,Detached Duplex,Lekki,Lagos,70000000,rent
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,82000000,rent
4,5,5,4,Detached Bungalow,Shomolu,Lagos,45000000,rent
5,5,6,8,Detached Duplex,Lekki,Lagos,150000000,sale
5,5,6,5,Detached Duplex,Ikeja,Lagos,130000000,rent
5,5,5,4,Detached Duplex,Lekki,Lagos,190000000,sale
4,4,5,4,Detached Duplex,Lekki,Lagos,125000000,rent
4,4,5,1,Terraced Duplexes,Ogudu,Lagos,75000000,rent
5,5,5,4,Detached Duplex,Ikeja,Lagos,250000000,sale
4,5,5,4,Detached Duplex,Lekki,Lagos,125000000,rent
5,5,6,3,Terraced Duplexes,Ikoyi,Lagos,185000000,sale
4,5,5,4,Terraced Duplexes,Lugbe District,Abuja,32000000,rent
5,6,6,4,Detached Duplex,Lekki,Lagos,150000000,sale
4,4,5,2,Terraced Duplexes,Lekki,Lagos,160000000,sale
4,4,5,2,Terraced Duplexes,Lekki,Lagos,90000000,rent
5,5,5,4,Detached Duplex,Ikeja,Lagos,165000000,sale
4,5,5,4,Terraced Duplexes,Ikeja,Lagos,110000000,rent
4,4,5,8,Detached Duplex,Lekki,Lagos,65000000,rent
4,4,5,4,Semi Detached Bungalow,Lekki,Lagos,38500000,rent
4,4,5,2,Detached Duplex,Ajah,Lagos,75000000,rent
4,4,5,5,Detached Duplex,Lekki,Lagos,100000000,rent
5,5,6,2,Detached Duplex,Lekki,Lagos,115000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,190000000,sale
5,5,6,4,Detached Duplex,Guzape District,Abuja,180000000,sale
4,5,5,4,Terraced Duplexes,Lekki,Lagos,75000000,rent
4,4,5,5,Terraced Duplexes,Ajah,Lagos,32000000,rent
5,5,6,8,Detached Bungalow,Ojodu,Lagos,60000000,rent
5,5,6,5,Detached Duplex,Ikeja,Lagos,125000000,rent
5,6,7,6,Detached Duplex,Lekki,Lagos,110000000,rent
5,5,5,8,Detached Duplex,Isolo,Lagos,52000000,rent
4,4,4,4,Semi Detached Duplex,Magodo,Lagos,75000000,rent
3,5,4,4,Detached Duplex,Ikeja,Lagos,130000000,rent
3,3,4,2,Block of Flats,Ikoyi,Lagos,190000000,sale
5,5,6,4,Detached Duplex,Lekki,Lagos,125000000,rent
5,5,6,3,Detached Duplex,Lekki,Lagos,120000000,rent
5,5,6,4,Detached Duplex,Ajah,Lagos,60000000,rent
4,4,5,4,Detached Duplex,Isolo,Lagos,55000000,rent
5,6,7,4,Detached Duplex,Ajah,Lagos,55000000,rent
4,5,5,4,Terraced Duplexes,Life Camp,Abuja,75000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,65000000,rent
4,5,5,3,Terraced Duplexes,Lekki,Lagos,55000000,rent
3,4,5,4,Block of Flats,Wuye,Abuja,250000000,sale
4,4,5,4,Detached Duplex,Lekki,Lagos,67000000,rent
5,5,6,6,Detached Duplex,Lekki,Lagos,200000000,sale
5,6,6,4,Detached Duplex,Life Camp,Abuja,35000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,60000000,rent
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,60000000,rent
5,5,5,4,Detached Duplex,Ikeja,Lagos,125000000,rent
5,4,5,4,Detached Duplex,Gwarinpa,Abuja,140000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,62000000,rent
3,3,4,4,Detached Bungalow,Gwarinpa,Abuja,70000000,rent
3,6,4,6,Detached Bungalow,Lokogoma District,Abuja,50000000,rent
4,4,4,2,Terraced Duplexes,Ikoyi,Lagos,200000000,sale
4,4,5,5,Semi Detached Duplex,Katampe,Abuja,160000000,sale
5,5,5,2,Detached Duplex,Lekki,Lagos,110000000,rent
3,3,4,1,Detached Bungalow,Ikorodu,Lagos,15000000,rent
4,4,5,4,Semi Detached Duplex,Ajah,Lagos,45000000,rent
5,5,6,5,Detached Duplex,Ajah,Lagos,120000000,rent
4,4,5,4,Detached Duplex,Lekki,Lagos,65000000,rent
3,5,5,4,Detached Duplex,Gwarinpa,Abuja,80000000,rent
5,5,5,4,Detached Duplex,Lekki,Lagos,200000000,sale
5,6,6,7,Detached Duplex,Apo,Abuja,85000000,rent
5,5,5,4,Detached Duplex,Isolo,Lagos,50000000,rent
4,4,5,4,Terraced Duplexes,Galadimawa,Abuja,43000000,rent
4,5,5,4,Terraced Duplexes,Life Camp,Abuja,45000000,rent
3,4,4,4,Detached Bungalow,Galadimawa,Abuja,15500000,rent
4,4,5,1,Detached Duplex,Ibeju Lekki,Lagos,43000000,rent
5,5,6,4,Detached Duplex,Ikeja,Lagos,150000000,sale
4,4,5,4,Semi Detached Duplex,Ajah,Lagos,72000000,rent
4,6,6,4,Detached Duplex,Ajah,Lagos,65000000,rent
4,4,5,2,Terraced Duplexes,Lekki,Lagos,45000000,rent
4,4,5,2,Terraced Duplexes,Lekki,Lagos,46000000,rent
4,6,6,4,Semi Detached Duplex,Wuse 2,Abuja,170000000,sale
5,5,6,7,Detached Duplex,Lekki,Lagos,195000000,sale
5,5,6,5,Detached Duplex,Lekki,Lagos,250000000,sale
4,5,5,4,Terraced Duplexes,Wuse 2,Abuja,190000000,sale
5,5,5,4,Detached Duplex,Durumi,Abuja,130000000,rent
4,5,5,4,Detached Duplex,Ikeja,Lagos,55000000,rent
5,4,5,6,Detached Bungalow,Lekki,Lagos,25000000,rent
5,5,6,3,Detached Duplex,Lekki,Lagos,80000000,rent
4,4,5,2,Terraced Duplexes,Lekki,Lagos,58000000,rent
4,4,5,4,Detached Duplex,Ajah,Lagos,65000000,rent
5,5,6,1,Detached Duplex,Gwarinpa,Abuja,85000000,rent
4,4,5,4,Terraced Duplexes,Mabushi,Abuja,75000000,rent
5,5,6,3,Detached Duplex,Lekki,Lagos,85000000,rent
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,65000000,rent
3,3,4,4,Terraced Duplexes,Lokogoma District,Abuja,35000000,rent
4,5,5,6,Semi Detached Duplex,Ajah,Lagos,39000000,rent
5,5,6,4,Terraced Duplexes,Lekki,Lagos,77000000,rent
3,4,5,2,Terraced Duplexes,Ajah,Lagos,65000000,rent
4,4,4,4,Semi Detached Duplex,Ikoyi,Lagos,230000000,sale
3,3,4,1,Terraced Bungalow,Ajah,Lagos,40000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,198000000,sale
3,3,4,2,Terraced Bungalow,Ifako-Ijaiye,Lagos,15500000,rent
